question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
날로 먹을 수 있는 오리는?,회오리,날오리,생오리,회오리바람,회오리,classic,2,
아수라 백작의 아들 이름은?,아수라 장,아수라 아들,백작 아들,악마 아들,아수라 장,classic,2,
술과 커피는 안 팝니다 4자로?,주차 금지,판매금지,술커금지,음료금지,주차 금지,classic,2,
자전거 못 탄다를 표현하면?,모타 싸이클,자전거 불가,바이크 불능,사이클 불가,모타 싸이클,classic,2,
종달새 수컷이 암놈을 부르는 방법은?,지지배배,리리리,삐삐삐,지저귀기,지지배배,classic,2,
멍청한 바보가 오줌 싼다 3자로?,쪼다쉬,멍청소변,바보오줌,어리석쉬,쪼다쉬,classic,2,
무슨 소인지 알 수 없는 소 4자로?,모르겠소,알수없소,무슨소리,이상한소,모르겠소,classic,2,
처음 만나는 소가 하는 말은?,반갑소,처음이오,안녕하소,인사드리오,반갑소,classic,2,
잠자는 소는?,주무소,자는소,꿈꾸는소,졸리는소,주무소,classic,2,
미소의 반대말은?,당기소,대소,큰소,끌어당기소,당기소,classic,2,
쥐가 네 마리 모이면?,쥐포,쥐넷이,사마리쥐,쥐사형제,쥐포,classic,2,
당신은 시골에 삽니다 3자로?,유인촌,시골거주,농촌거주,시골인,유인촌,classic,2,
그냥 고래는?,핀,일반고래,보통고래,평범고래,핀,classic,2,
시청에서 가장 먼 곳은?,만리동,먼거리,멀리동,원거리동,만리동,classic,2,
길거리에서 시주 받는 스님은?,영업중,구걸중,탁발중,시주받는중,영업중,classic,2,
IQ30이 생각하는 산토끼 반대말은?,끼토산,집토끼,들토끼,바다토끼,끼토산,classic,2,
IQ60이 생각하는 산토끼 반대말은?,집토끼,끼토산,들토끼,바다토끼,집토끼,classic,2,
IQ80이 생각하는 산토끼 반대말은?,죽은 토끼,집토끼,물토끼,끼토산,죽은 토끼,classic,2,
IQ100이 생각하는 산토끼 반대말은?,바다 토끼,죽은 토끼,집토끼,육지 토끼,바다 토끼,classic,2,
IQ110이 생각하는 산토끼 반대말은?,판 토끼,바다 토끼,집토끼,죽은 토끼,판 토끼,classic,2,
IQ120이 생각하는 산토끼 반대말은?,알칼리 토끼,판 토끼,바다 토끼,산성 토끼,알칼리 토끼,classic,2,
꽃이 제일 좋아하는 벌은?,재벌,꿀벌,일벌,말벌,재벌,classic,2,
혼자 다 해먹는 사람은?,자취생,독식자,혼자먹는사람,독점자,자취생,classic,2,
우유를 6글자로 늘이면?,송아지 쭈쭈바,우유우유우유,흰색음료음료,소젖소젖소젖,송아지 쭈쭈바,classic,2,
소금을 죽이면?,죽염,소금사망,소금죽음,소금사살,죽염,classic,2,
말괄량이 삐삐 7자로?,말괄량이 호출기,말괄량이 소녀,빨강머리 삐삐,장화신은 삐삐,말괄량이 호출기,classic,2,
술값 안 내려고 추는 춤은?,주춤주춤,회피댄스,도망댄스,빠져나가댄스,주춤주춤,classic,2,
슈퍼맨 가슴 S자 약자는?,스판,슈퍼,신사,소방관,스판,classic,2,
4위가 더 좋다는 사람은?,장모,4위선호자,4등좋아,사위,장모,classic,2,
고추장 간장 된장 잘못 버린 장은?,젠장,된장,고추장,잡장,젠장,classic,2,
호주의 술은?,호주,맥주,와인,소주,호주,classic,2,
호주의 쌀은?,호미(米),호주쌀,호기미,호래미,호미(米),classic,2,
호주의 떡은?,호떡,호주떡,호박떡,호두떡,호떡,classic,2,
호주의 돈은?,호주머니,지갑,화폐,돈주머니,호주머니,classic,2,
가장 쓸모없는 구리는?,멍텅구리,오래된구리,녹슨구리,폐구리,멍텅구리,classic,2,
서울에 있는 대학은?,서울대,고려대,연세대,성균관대,서울대,classic,2,
서울에서 약간 먼 대학은?,서울약대,서울시립대,한양대,건국대,서울약대,classic,2,
서울에서 제법 먼 대학은?,서울법대,인하대,아주대,단국대,서울법대,classic,2,
서울에서 상당히 먼 대학은?,서울상대,충남대,충북대,전남대,서울상대,classic,2,
개미가 모이면 더러운 이유는?,개미 때(떼)이기 때문,개미 분비물,개미 냄새,개미 흙,개미 때(떼)이기 때문,classic,2,
영웅호걸이 여자 좋아하는 이유는?,호(好)Girl이기 때문,여자가 예뻐서,여자가 좋아서,본능이라서,호(好)Girl이기 때문,classic,2,
오락실 수호신 용 두 마리는?,일인용과 이인용,청룡과 황룡,용용과 미르,쌍용과 황룡,일인용과 이인용,classic,2,
백설공주가 밥상 차린 시간은?,7분(일곱 난쟁이),10분,30분,5분,7분(일곱 난쟁이),classic,2,
현모양처란?,현저하게 히프 모양이 양쪽으로 처진 아가씨,현명한 어머니,착한 아내,좋은 여성,현저하게 히프 모양이 양쪽으로 처진 아가씨,classic,2,
동문서답이란?,동쪽 문 닫으니 서쪽 문이 답답하다,질문과 다른 대답,엉뚱한 대답,관련없는 답,동쪽 문 닫으니 서쪽 문이 답답하다,classic,2,
개성미란?,개 같은 성미,개성 있는 미모,독특한 아름다움,특이한 매력,개 같은 성미,classic,2,
돌격대란?,돌덩이를 격파시킨 대가리,특공부대,공격대,선봉대,돌덩이를 격파시킨 대가리,classic,2,
고바우란?,고스톱하다 바가지 쓰고 우는 녀석,만화 캐릭터,조선시대 바위,고집쟁이,고스톱하다 바가지 쓰고 우는 녀석,classic,2,
클래식이란?,오래 사귄 친구,오래된 음악,고전음악,전통음악,오래 사귄 친구,classic,2,
노선버스란?,노총각 노처녀가 맞선보러 갈 때 타는 버스,일반버스,시내버스,정기버스,노총각 노처녀가 맞선보러 갈 때 타는 버스,classic,2,
이치과에는 어떤 사람이 갈까?,옳고 그른 것 따지기 좋아하는 사람,치아 아픈 사람,이가 빠진 사람,치과 환자,옳고 그른 것 따지기 좋아하는 사람,classic,2,
떼돈 벌려면?,목욕탕을 차린다,로또를 산다,주식을 한다,부동산을 산다,목욕탕을 차린다,classic,2,
못 먹는 밥의 종류는?,82가지(쉰밥50+서른밥30+톱밥1+눈치밥1),50가지,30가지,100가지,82가지(쉰밥50+서른밥30+톱밥1+눈치밥1),classic,2,
합치면 80가지 밥이 되는 두 종류는?,쉰밥과 서른밥,쉰밥과 마흔밥,서른밥과 쉰밥,쉰밥과 이십밥,쉰밥과 서른밥,classic,2,
일일생활권이란?,차 막혀서 어디를 가나 하루 걸린다,하루 안에 이동 가능한 거리,빠른 이동권,교통 편의권,차 막혀서 어디를 가나 하루 걸린다,classic,2,
보통 사람이란?,보기만 해서는 통 알 수 없는 사람,평범한 사람,일반인,중간 수준인,보기만 해서는 통 알 수 없는 사람,classic,2,
성인(聖人)이 집 나가면 출가 내가 나가면?,가출,집나가기,외출,탈출,가출,classic,2,
전축을 틀면 나오는 소리는?,판소리,음악소리,전자음,레코드음,판소리,classic,2,
옷 홀딱 벗은 남자 그림 4글자?,전라남도,나체화,누드그림,벌거숭이,전라남도,classic,2,
물고기의 반대말은?,불고기,바다고기,강고기,민물고기,불고기,classic,2,
노인들이 좋아하는 폭포는?,나이야가라 폭포,구룡폭포,개성폭포,울산바위폭포,나이야가라 폭포,classic,2,
하나님도 부처님도 싫어하는 비는?,사이비,폭우,호우,장맛비,사이비,classic,2,
세상에서 가장 황당한 미용실은?,버르장머리,이발소,헤어샵,미용원,버르장머리,classic,2,
텔레토비가 차린 안경점 이름은?,아이조아,텔레안경,토비안경,토비스안경,아이조아,classic,2,
공부도 못하면서 주접 떠는 여자는?,공주,여학생,공부녀,학업여자,공주,classic,2,
천재란?,천하에 재수 없는 녀석,뛰어난 사람,영재,신동,천하에 재수 없는 녀석,classic,2,
세균 중 제일 센 대장은?,대장균,황색포도상구균,살모넬라,결핵균,대장균,classic,2,
엉덩이 뚱뚱한 사람은?,엉뚱한 사람,큰엉덩이,뚱뚱이,비만한 사람,엉뚱한 사람,classic,2,
땅 구르고 손바닥 부는 운동은?,쿵푸,격투기,무술,태권도,쿵푸,classic,2,
미남이란(또 다른 뜻)?,미련한 남자,잘생긴 남자,멋진 남자,훈남,미련한 남자,classic,2,
미녀란?,미련한 여자,예쁜 여자,아름다운 여자,고운 여자,미련한 여자,classic,2,
한국에서 제일 야한 영화 제목은?,꽃을 든 남자,장미의 여인,뜨거운 여름,불타는 욕망,꽃을 든 남자,classic,2,
소나타는 누가 타는 차인가?,소(소나 타는 차),현대차 운전자,소나타 팬,기사,소(소나 타는 차),classic,2,
처녀가 타서는 안 되는 차는?,아벨라,신혼차,처녀차,소나타,아벨라,classic,2,
밀크의 나라는?,브라자,유제품의 나라,흰색나라,우유나라,브라자,classic,2,
닭이 넘어지는 소리 세 자로?,다꾸앙(단무지),꽥꽝꽥,닭쓰러,닭넘어,다꾸앙(단무지),classic,2,
아편전쟁이란?,아내와 남편의 부부싸움,중국과 영국의 전쟁,마약전쟁,역사적 전쟁,아내와 남편의 부부싸움,classic,2,
동방불패란?,동사무소 방위는 불쌍해서 패지도 않는다,무림의 고수,절대 강자,무패의 고수,동사무소 방위는 불쌍해서 패지도 않는다,classic,2,
임전무퇴란?,임산부 앞에서는 침을 뱉지 않는다,전쟁에서 물러서지 않는다,끝까지 싸운다,용감하게 싸운다,임산부 앞에서는 침을 뱉지 않는다,classic,2,
부가가치세란?,부자와 가난한 자가 같이 내는 세금,소비에 붙는 세금,물건에 붙는 세금,판매세,부자와 가난한 자가 같이 내는 세금,classic,2,
영세민이란?,영리하고 세련된 민주시민,가난한 시민,저소득층,빈곤층,영리하고 세련된 민주시민,classic,2,
남존여비란?,남자가 존재하는 한 여자는 비참하다,남자를 높이고 여자를 낮춤,남녀차별,성차별,남자가 존재하는 한 여자는 비참하다,classic,2,
비가 올 때 하는 욕은?,BYC,욕설,빗속욕,우중욕,BYC,classic,2,
절대로 울면 안 되는 날은?,중국집 쉬는 날(울면 메뉴),슬픈 날,마음 아픈 날,눈물 나는 날,중국집 쉬는 날(울면 메뉴),classic,2,
나폴레옹의 묘 이름은?,불가능(능-陵),나폴레옹릉,황제묘,파리묘,불가능(능-陵),classic,2,
여자만 먹는 음식은?,여탕,여성전용식,여식,여자음식,여탕,classic,2,
여자만 갖는 권리는?,여권(passport),여성권리,여성인권,페미니즘,여권(passport),classic,2,
여자만 사는 섬은?,여의도,여성섬,여인섬,여자섬,여의도,classic,2,
여자들만 자는 곳은?,여인숙,여자기숙사,여자숙박,여성전용숙소,여인숙,classic,2,
여자들만 사는 곳은?,여관,여성촌,여인촌,여자마을,여관,classic,2,
개구리가 낙지를 먹으면?,개구락지,개구리낙지,개낙지,낙개구리,개구락지,classic,2,
박사와 학사는 밥 많이 먹는다는 사자성어는?,박학다식(博學多食),박학다식(博學多識),다식박학,식학박다,박학다식(博學多食),classic,2,
방자가 향단이를 사랑하는 마음 3글자는?,방향제,방자향단,사랑방향,향방제,방향제,classic,2,
파란 차에 치인 상황은?,파란만장 교통사고,청색차사고,파란차추돌,하늘색차사고,파란만장 교통사고,classic,2,
호랑이에게 덤비는 용감한 개 이름은?,하룻강아지,용감한개,겁없는개,사나운개,하룻강아지,classic,2,
위대한 사람이란?,밥을 많이 먹는 사람,훌륭한 사람,영웅,위인,밥을 많이 먹는 사람,classic,2,
